Date,Close,Open,High,Low,Volume,% Thay đổi
2023-03-21,895000.0,890000.0,895000.0,890000.0,320.0,1.13%
2023-03-22,889000.0,885000.0,889000.0,850000.0,300.0,-0.67%
2023-03-23,875000.0,880000.0,880000.0,875000.0,510.0,-1.57%
2023-03-24,865000.0,866000.0,866000.0,865000.0,220.0,-1.14%
2023-03-27,735800.0,800000.0,805000.0,735700.0,3080.0,-14.94%
2023-03-28,694300.0,681000.0,700000.0,681000.0,1010.0,-5.64%
2023-03-29,787900.0,700000.0,787900.0,700000.0,210.0,13.48%
2023-03-30,744000.0,744000.0,744000.0,744000.0,400.0,-5.57%
2023-03-31,750000.0,744000.0,750000.0,744000.0,300.0,0.81%
2023-04-03,746000.0,750000.0,750000.0,710000.0,410.0,-0.53%
2023-04-04,749000.0,730000.0,749000.0,730000.0,400.0,0.40%
2023-04-05,750000.0,750000.0,750000.0,750000.0,100.0,0.13%
2023-04-06,830000.0,790000.0,830000.0,790000.0,410.0,10.67%
2023-04-07,840000.0,840000.0,840000.0,840000.0,160.0,1.20%
2023-04-10,745000.0,721000.0,745000.0,721000.0,400.0,-11.31%
2023-04-11,790000.0,788000.0,790000.0,788000.0,220.0,6.04%
2023-04-12,795000.0,788000.0,795000.0,780000.0,600.0,0.63%
2023-04-13,800000.0,670000.0,800000.0,670000.0,510.0,0.63%
2023-04-14,780000.0,768000.0,780000.0,751000.0,340.0,-2.50%
2023-04-17,775000.0,770000.0,775000.0,770000.0,250.0,-0.64%
2023-04-18,846000.0,800000.0,846000.0,800000.0,1830.0,9.16%
2023-04-19,818000.0,820000.0,820000.0,818000.0,310.0,-3.31%
2023-04-20,850000.0,838000.0,890000.0,838000.0,1010.0,3.91%
2023-04-21,836000.0,836000.0,850000.0,836000.0,510.0,-1.65%
2023-04-24,855000.0,810000.0,855000.0,800000.0,2310.0,2.27%
2023-04-25,835000.0,849000.0,849000.0,835000.0,200.0,-2.34%
2023-04-27,760000.0,760000.0,760000.0,760000.0,100.0,-8.98%
2023-04-28,828900.0,837000.0,838000.0,828900.0,500.0,9.07%
2023-05-04,790000.0,790000.0,790000.0,790000.0,120.0,-4.69%
2023-05-05,750000.0,732000.0,750000.0,730000.0,310.0,-5.06%
2023-05-08,810000.0,740000.0,810000.0,740000.0,2100.0,8.00%
2023-05-09,810000.0,800000.0,810000.0,800000.0,240.0,0.00%
2023-05-10,810000.0,798000.0,813000.0,750000.0,600.0,0.00%
2023-05-11,766100.0,768000.0,772000.0,766100.0,510.0,-5.42%
2023-05-12,801000.0,801000.0,801000.0,801000.0,110.0,4.56%
2023-05-15,800000.0,799000.0,800000.0,799000.0,200.0,-0.12%
2023-05-16,780000.0,800000.0,800000.0,780000.0,1520.0,-2.50%
2023-05-18,780000.0,800000.0,800000.0,780000.0,440.0,0.00%
2023-05-19,790000.0,782000.0,790000.0,782000.0,730.0,1.28%
2023-05-22,800000.0,790000.0,800000.0,770000.0,360.0,1.27%
2023-05-23,768000.0,768000.0,768000.0,768000.0,150.0,-4.00%
2023-05-24,740000.0,768000.0,769000.0,740000.0,520.0,-3.65%
2023-05-26,740000.0,750000.0,795000.0,740000.0,5720.0,0.00%
2023-06-02,776000.0,780000.0,786000.0,772000.0,8580.0,4.86%
2023-06-05,779000.0,779000.0,779000.0,779000.0,800.0,0.39%
2023-06-06,760000.0,760000.0,760000.0,760000.0,100.0,-2.44%
2023-06-07,750000.0,770000.0,780000.0,750000.0,900.0,-1.32%
2023-06-08,770000.0,780000.0,780000.0,770000.0,1550.0,2.67%
